"","X1","FECHA","NOMBRE_DIA","FESTIVO"
"1",1,"1/1/2014","MIERCOLES","2"
"2",2,"1/2/2014","JUEVES","VAC"
"3",3,"1/3/2014","VIERNES","VAC"
"4",4,"1/4/2014","SÁBADO","VAC"
"5",5,"1/5/2014","DOMINGO","VAC"
"6",6,"1/6/2014","LUNES","2"
"7",7,"1/7/2014","MARTES","0"
"8",8,"1/8/2014","MIERCOLES","0"
"9",9,"1/9/2014","JUEVES","0"
"10",10,"1/10/2014","VIERNES","0"
"11",11,"1/11/2014","SÁBADO","0"
"12",12,"1/12/2014","DOMINGO","0"
"13",13,"1/13/2014","LUNES","0"
"14",14,"1/14/2014","MARTES","0"
"15",15,"1/15/2014","MIERCOLES","0"
"16",16,"1/16/2014","JUEVES","0"
"17",17,"1/17/2014","VIERNES","0"
"18",18,"1/18/2014","SÁBADO","0"
"19",19,"1/19/2014","DOMINGO","0"
"20",20,"1/20/2014","LUNES","0"
"21",21,"1/21/2014","MARTES","0"
"22",22,"1/22/2014","MIERCOLES","0"
"23",23,"1/23/2014","JUEVES","0"
"24",24,"1/24/2014","VIERNES","0"
"25",25,"1/25/2014","SÁBADO","0"
"26",26,"1/26/2014","DOMINGO","0"
"27",27,"1/27/2014","LUNES","0"
"28",28,"1/28/2014","MARTES","0"
"29",29,"1/29/2014","MIERCOLES","0"
"30",30,"1/30/2014","JUEVES","0"
"31",31,"1/31/2014","VIERNES","0"
"32",32,"2/1/2014","SÁBADO","0"
"33",33,"2/2/2014","DOMINGO","0"
"34",34,"2/3/2014","LUNES","0"
"35",35,"2/4/2014","MARTES","0"
"36",36,"2/5/2014","MIERCOLES","0"
"37",37,"2/6/2014","JUEVES","0"
"38",38,"2/7/2014","VIERNES","0"
"39",39,"2/8/2014","SÁBADO","0"
"40",40,"2/9/2014","DOMINGO","0"
"41",41,"2/10/2014","LUNES","0"
"42",42,"2/11/2014","MARTES","0"
"43",43,"2/12/2014","MIERCOLES","0"
"44",44,"2/13/2014","JUEVES","0"
"45",45,"2/14/2014","VIERNES","SVT"
"46",46,"2/15/2014","SÁBADO","0"
"47",47,"2/16/2014","DOMINGO","0"
"48",48,"2/17/2014","LUNES","0"
"49",49,"2/18/2014","MARTES","0"
"50",50,"2/19/2014","MIERCOLES","0"
"51",51,"2/20/2014","JUEVES","0"
"52",52,"2/21/2014","VIERNES","0"
"53",53,"2/22/2014","SÁBADO","0"
"54",54,"2/23/2014","DOMINGO","0"
"55",55,"2/24/2014","LUNES","0"
"56",56,"2/25/2014","MARTES","0"
"57",57,"2/26/2014","MIERCOLES","0"
"58",58,"2/27/2014","JUEVES","0"
"59",59,"2/28/2014","VIERNES","0"
